filename,result,time_seconds,note
benchmarks\formula_1.cnf,unsat,0.151206,
benchmarks\formula_10.cnf,unsat,0.282777,
benchmarks\formula_100.cnf,unsat,0.113288,
benchmarks\formula_11.cnf,sat,0.061192,
benchmarks\formula_12.cnf,sat,0.128542,
benchmarks\formula_13.cnf,sat,0.049283,
benchmarks\formula_14.cnf,sat,0.016113,
benchmarks\formula_15.cnf,sat,0.102513,
benchmarks\formula_16.cnf,unsat,0.181574,
benchmarks\formula_17.cnf,sat,0.058078,
benchmarks\formula_18.cnf,unsat,0.161289,
benchmarks\formula_19.cnf,unsat,0.148812,
benchmarks\formula_2.cnf,sat,0.040108,
benchmarks\formula_20.cnf,sat,0.009691,
benchmarks\formula_21.cnf,sat,0.028002,
benchmarks\formula_22.cnf,sat,0.175377,
benchmarks\formula_23.cnf,unsat,0.357955,
benchmarks\formula_24.cnf,unsat,0.272922,
benchmarks\formula_25.cnf,unsat,0.230364,
benchmarks\formula_26.cnf,unsat,0.248934,
benchmarks\formula_27.cnf,sat,0.145667,
benchmarks\formula_28.cnf,unsat,0.263292,
benchmarks\formula_29.cnf,sat,0.025831,
benchmarks\formula_3.cnf,unsat,0.159842,
benchmarks\formula_30.cnf,sat,0.055884,
benchmarks\formula_31.cnf,sat,0.153407,
benchmarks\formula_32.cnf,sat,0.009995,
benchmarks\formula_33.cnf,sat,0.104965,
benchmarks\formula_34.cnf,sat,0.097568,
benchmarks\formula_35.cnf,unsat,0.254739,
benchmarks\formula_36.cnf,sat,0.005676,
benchmarks\formula_37.cnf,sat,0.079688,
benchmarks\formula_38.cnf,sat,0.057907,
benchmarks\formula_39.cnf,sat,0.049614,
benchmarks\formula_4.cnf,unsat,0.088558,
benchmarks\formula_40.cnf,unsat,0.233386,
benchmarks\formula_41.cnf,unsat,0.323401,
benchmarks\formula_42.cnf,unsat,0.120044,
benchmarks\formula_43.cnf,sat,0.099966,
benchmarks\formula_44.cnf,sat,0.026377,
benchmarks\formula_45.cnf,sat,0.009340,
benchmarks\formula_46.cnf,sat,0.158215,
benchmarks\formula_47.cnf,unsat,0.398604,
benchmarks\formula_48.cnf,sat,0.069018,
benchmarks\formula_49.cnf,sat,0.092340,
benchmarks\formula_5.cnf,sat,0.125943,
benchmarks\formula_50.cnf,sat,0.073797,
benchmarks\formula_51.cnf,unsat,0.089186,
benchmarks\formula_52.cnf,sat,0.080385,
benchmarks\formula_53.cnf,sat,0.003516,
benchmarks\formula_54.cnf,sat,0.078138,
benchmarks\formula_55.cnf,unsat,0.127926,
benchmarks\formula_56.cnf,sat,0.096321,
benchmarks\formula_57.cnf,sat,0.057056,
benchmarks\formula_58.cnf,sat,0.002210,
benchmarks\formula_59.cnf,unsat,0.077167,
benchmarks\formula_6.cnf,sat,0.093531,
benchmarks\formula_60.cnf,unsat,0.176219,
benchmarks\formula_61.cnf,sat,0.001895,
benchmarks\formula_62.cnf,unsat,0.147399,
benchmarks\formula_63.cnf,unsat,0.227201,
benchmarks\formula_64.cnf,sat,0.160931,
benchmarks\formula_65.cnf,sat,0.005241,
benchmarks\formula_66.cnf,sat,0.197366,
benchmarks\formula_67.cnf,sat,0.020158,
benchmarks\formula_68.cnf,unsat,0.072330,
benchmarks\formula_69.cnf,unsat,0.410310,
benchmarks\formula_7.cnf,unsat,0.222639,
benchmarks\formula_70.cnf,sat,0.002537,
benchmarks\formula_71.cnf,unsat,0.322022,
benchmarks\formula_72.cnf,sat,0.061837,
benchmarks\formula_73.cnf,unsat,0.957799,
benchmarks\formula_74.cnf,unsat,0.101666,
benchmarks\formula_75.cnf,sat,0.053347,
benchmarks\formula_76.cnf,unsat,0.239462,
benchmarks\formula_77.cnf,unsat,0.299785,
benchmarks\formula_78.cnf,unsat,0.090832,
benchmarks\formula_79.cnf,unsat,0.232027,
benchmarks\formula_8.cnf,unsat,0.320262,
benchmarks\formula_80.cnf,sat,0.055010,
benchmarks\formula_81.cnf,unsat,0.597198,
benchmarks\formula_82.cnf,unsat,0.138263,
benchmarks\formula_83.cnf,sat,0.028977,
benchmarks\formula_84.cnf,unsat,0.137929,
benchmarks\formula_85.cnf,sat,0.083793,
benchmarks\formula_86.cnf,sat,0.167614,
benchmarks\formula_87.cnf,unsat,0.254923,
benchmarks\formula_88.cnf,unsat,0.168984,
benchmarks\formula_89.cnf,sat,0.138911,
benchmarks\formula_9.cnf,sat,0.014470,
benchmarks\formula_90.cnf,unsat,0.117830,
benchmarks\formula_91.cnf,unsat,0.174937,
benchmarks\formula_92.cnf,sat,0.060460,
benchmarks\formula_93.cnf,sat,0.135617,
benchmarks\formula_94.cnf,sat,0.009330,
benchmarks\formula_95.cnf,unsat,0.359916,
benchmarks\formula_96.cnf,sat,0.009153,
benchmarks\formula_97.cnf,unsat,0.136019,
benchmarks\formula_98.cnf,unsat,0.107356,
benchmarks\formula_99.cnf,sat,0.082167,
