filename,result,time_seconds,note,expected,mismatch
benchmarks\formula_1.cnf,unsat,0.156189,,unsat,no
benchmarks\formula_10.cnf,unsat,0.286695,,unsat,no
benchmarks\formula_100.cnf,unsat,0.116452,,unsat,no
benchmarks\formula_11.cnf,sat,0.063298,,sat,no
benchmarks\formula_12.cnf,sat,0.126468,,sat,no
benchmarks\formula_13.cnf,sat,0.050017,,sat,no
benchmarks\formula_14.cnf,sat,0.019885,,sat,no
benchmarks\formula_15.cnf,sat,0.113694,,sat,no
benchmarks\formula_16.cnf,unsat,0.177346,,unsat,no
benchmarks\formula_17.cnf,sat,0.061158,,sat,no
benchmarks\formula_18.cnf,unsat,0.162252,,unsat,no
benchmarks\formula_19.cnf,unsat,0.150667,,unsat,no
benchmarks\formula_2.cnf,sat,0.038933,,sat,no
benchmarks\formula_20.cnf,sat,0.009605,,sat,no
benchmarks\formula_21.cnf,sat,0.027461,,sat,no
benchmarks\formula_22.cnf,sat,0.161651,,sat,no
benchmarks\formula_23.cnf,unsat,0.362646,,unsat,no
benchmarks\formula_24.cnf,unsat,0.272829,,unsat,no
benchmarks\formula_25.cnf,unsat,0.272958,,unsat,no
benchmarks\formula_26.cnf,unsat,0.265558,,unsat,no
benchmarks\formula_27.cnf,sat,0.147361,,sat,no
benchmarks\formula_28.cnf,unsat,0.253686,,unsat,no
benchmarks\formula_29.cnf,sat,0.025901,,sat,no
benchmarks\formula_3.cnf,unsat,0.152739,,unsat,no
benchmarks\formula_30.cnf,sat,0.055530,,sat,no
benchmarks\formula_31.cnf,sat,0.160402,,sat,no
benchmarks\formula_32.cnf,sat,0.010137,,sat,no
benchmarks\formula_33.cnf,sat,0.121294,,sat,no
benchmarks\formula_34.cnf,sat,0.098646,,sat,no
benchmarks\formula_35.cnf,unsat,0.262937,,unsat,no
benchmarks\formula_36.cnf,sat,0.005894,,sat,no
benchmarks\formula_37.cnf,sat,0.081942,,sat,no
benchmarks\formula_38.cnf,sat,0.051952,,sat,no
benchmarks\formula_39.cnf,sat,0.050626,,sat,no
benchmarks\formula_4.cnf,unsat,0.090886,,unsat,no
benchmarks\formula_40.cnf,unsat,0.228037,,unsat,no
benchmarks\formula_41.cnf,unsat,0.324934,,unsat,no
benchmarks\formula_42.cnf,unsat,0.121108,,unsat,no
benchmarks\formula_43.cnf,sat,0.098894,,sat,no
benchmarks\formula_44.cnf,sat,0.025446,,sat,no
benchmarks\formula_45.cnf,sat,0.009213,,sat,no
benchmarks\formula_46.cnf,sat,0.138338,,sat,no
benchmarks\formula_47.cnf,unsat,0.395410,,unsat,no
benchmarks\formula_48.cnf,sat,0.070445,,sat,no
benchmarks\formula_49.cnf,sat,0.090443,,sat,no
benchmarks\formula_5.cnf,sat,0.129733,,sat,no
benchmarks\formula_50.cnf,sat,0.075395,,sat,no
benchmarks\formula_51.cnf,unsat,0.086624,,unsat,no
benchmarks\formula_52.cnf,sat,0.080425,,sat,no
benchmarks\formula_53.cnf,sat,0.003543,,sat,no
